"id","code","description"
"product.product_uom_cm","CMT","Centimeter"
"product.product_uom_qt","GLL","gallon (US)"
"product.product_uom_day","DAY","day"
"product.product_uom_dozen","DZN","Dozen"
"product.product_uom_floz","OZI","fluid ounce (UK)"
"product.product_uom_gram","GR","gram"
"product.product_uom_gal","GLL","gallon (US)"
"product.product_uom_hour","HUR","hour"
"product.product_uom_kgm","KGM","Kilogram"
"product.product_uom_km","KTM","kilometre"
"product.product_uom_lb","LBR","Pound"
"product.product_uom_litre","LTR","Litre"
"product.product_uom_meter","MTR","metre"
"product.product_uom_mile","SMI","mile (statute mile)"
"product.product_uom_oz","ONZ","ounce"
"product.product_uom_foot","FOT","Foot"
"product.product_uom_inch","INH","Inch"
"product.product_uom_ton","LTN","ton (UK) or longton (US)"
"product.product_uom_unit","NIU","number of international units"
